Sample_input,Actual,Proposed,Traditional
1,2113.897705078125,2065.587558554713,2079.060341854572
1,2186.529541015625,1910.6764005500927,2054.3312723255126
1,2145.025634765625,2000.055678946402,2198.71716001297
1,2238.409423828125,1860.0761739232873,2088.6690629822115
1,2113.897705078125,1997.369837677104,2045.0485186293806
1,2196.905517578125,2130.6313862169204,2089.8029639033903
1,2145.025634765625,2088.7047975024884,2026.6887480160538
1,2238.409423828125,2036.9365906920775,2050.4668194583724
1,2186.529541015625,2045.2628671326197,2105.347936857347
1,2228.033447265625,1931.2689189914126,1924.4853547107405
1,2352.545166015625,2196.6312429426016,2123.808681375104
1,2020.5139160156252,2223.9766861297344,1972.63522291692
1,2165.777587890625,2219.690964645253,1956.2369670686974
1,2331.793212890625,2334.7028316864994,2207.8975419583794
1,2456.304931640625,2269.2366182045153,2179.647949431674
1,2196.905517578125,2028.2655060804132,2142.163624245231
1,2331.793212890625,2133.5549828357193,2241.087057413346
1,2207.281494140625,2406.247528143006,2295.328771519833
1,2207.281494140625,2173.6984734809625,2279.7212888087224
1,2228.033447265625,2115.4052343578105,2314.383230522833
1,2030.8898925781252,2347.7856571088555,2243.4303532740614
1,2176.153564453125,2343.1933376317747,2192.5814578591708
1,2103.521728515625,2166.5066557838377,2234.896732013379
1,2072.393798828125,2271.0699688657455,2233.7620361340973
1,2207.281494140625,2290.8198260677577,2161.440019474958
1,2165.777587890625,2418.0919500751174,2171.9918613172526
1,2207.281494140625,2384.7964108365454,2042.5190082368988
1,2186.529541015625,2337.8795530157404,2041.5786385271726
1,2269.537353515625,2347.6069324546725,2152.2271276632623
1,2196.905517578125,2280.749455017168,2082.0944680956386
1,2279.913330078125,2458.033560658883,2095.6671345342925
1,2435.552978515625,2515.411620160974,2083.736282288365
1,2425.177001953125,2347.433993690279,2010.0261809242043
1,2373.297119140625,2516.6564937482235,2145.720456307371
1,2342.169189453125,2295.7485950704645,2051.0451665723567
1,2362.921142578125,2401.354688510775,2152.7754218367772
1,2352.545166015625,2319.873627671597,2047.4409625490978
1,2373.297119140625,2192.568119354162,1966.6511210862272
1,2176.153564453125,2287.8378516978923,2123.5873875904185
1,2134.649658203125,2284.522909770071,2049.4161475908845
1,2373.297119140625,2375.030531992567,2035.6278762014506
1,1999.7619628906252,2154.1387709353985,2238.8230513294975
1,2103.521728515625,2285.026326629971,2032.1388192440231
1,2176.153564453125,2296.7661185254483,2204.0029972346124
1,1989.3859863281252,2171.6284253055273,2164.0844919432443
1,2155.401611328125,2297.2622595457246,2228.310626141008
1,2165.777587890625,2256.347316380308,2105.3595083328314
1,2259.161376953125,2115.2106322869918,2171.470463182699
1,2414.801025390625,2225.2892882526316,2012.2710104335042
1,2207.281494140625,2192.508637989465,2131.517607653707
1,1989.3859863281252,2388.527462711034,2182.647797064716
1,2155.401611328125,2416.3020935196273,2076.4269936678975
1,2082.769775390625,2493.843319528856,2121.836394166837
1,2020.5139160156252,2412.612080832624,2088.0849818663487
1,2259.161376953125,2310.976325768251,2124.9997213952347
1,2259.161376953125,2129.101889831598,2292.760447365572
1,2113.897705078125,2227.7949254242108,2183.322743987751
1,2186.529541015625,2139.3409530306403,2130.39362057982
1,2487.432861328125,2394.8704381519397,2191.8000517735286
1,2528.936767578125,2333.158428883329,2209.9217817436897
1,2238.409423828125,2220.9075318601463,2235.452390270386
1,2394.049072265625,2259.4180478838093,2219.9091222181805
1,2352.545166015625,2231.1052514256016,2235.8446970941936
1,2072.393798828125,2476.7734908454745,2120.0035091686063
